instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,month,day,day_of_week,season_label,month_label,weather_label,weekday_label,casual_percent,registered_percent,temp_actual,atemp_actual,hum_actual,windspeed_actual,cluster
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,2011,1,1,Saturday,Spring,Jan,Mist,Saturday,33.60406091370559,66.39593908629442,14.110847,18.18125,80.58330000000001,10.749882,0
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,2011,1,2,Sunday,Spring,Jan,Mist,Sunday,16.354556803995006,83.645443196005,14.902598000000001,17.686950000000003,69.6087,16.652113,0
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2011,1,3,Monday,Spring,Jan,Clear,Monday,8.895478131949593,91.1045218680504,8.050924,9.47025,43.7273,16.636703,0
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,2011,1,4,Tuesday,Spring,Jan,Clear,Tuesday,6.9142125480153656,93.08578745198463,8.200000000000001,10.6061,59.0435,10.739832,0
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,2011,1,5,Wednesday,Spring,Jan,Clear,Wednesday,5.125,94.875,9.305237,11.4635,43.695699999999995,12.522300000000001,0
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,2011,1,6,Thursday,Spring,Jan,Clear,Thursday,5.47945205479452,94.52054794520548,8.378268,11.66045,51.8261,6.0008684,0
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,2011,1,7,Friday,Spring,Jan,Mist,Friday,9.801324503311259,90.19867549668874,8.057402,10.44195,49.8696,11.304642,0
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,2011,1,8,Saturday,Spring,Jan,Mist,Saturday,7.090719499478623,92.90928050052138,6.765000000000001,8.1127,53.5833,17.875868,0
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,2011,1,9,Sunday,Spring,Jan,Clear,Sunday,6.569343065693431,93.43065693430657,5.671653,5.80875,43.416700000000006,24.25065,0
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,2011,1,10,Monday,Spring,Jan,Clear,Monday,3.1037093111279335,96.89629068887207,6.184153,7.5443999999999996,48.2917,14.958889,0
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,2011,1,11,Tuesday,Spring,Jan,Mist,Tuesday,3.4045922406967537,96.59540775930324,6.9327309999999995,9.5732,68.6364,8.182844000000001,0
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,2011,1,12,Wednesday,Spring,Jan,Clear,Wednesday,2.1514629948364887,97.84853700516352,7.0818069999999995,8.02365,59.954499999999996,20.410009,0
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,2011,1,13,Thursday,Spring,Jan,Clear,Thursday,2.7027027027027026,97.2972972972973,6.765000000000001,7.544149999999999,47.0417,20.166999999999998,0
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,2011,1,14,Friday,Spring,Jan,Clear,Friday,3.8001407459535534,96.19985925404644,6.59567,9.42065,53.7826,8.478716,0
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,2011,1,15,Saturday,Spring,Jan,Mist,Saturday,17.78846153846154,82.21153846153845,9.566653,12.4056,49.875,10.583521,0
